trait	method	compartment	category	prop_snps	prop_h2	prop_h2_se	enrichment	enrichment_se	enrichment_p	coefficient	coefficient_se	coefficient_z	total_h2	intercept	lambda_gc	n_snps
Height	method2_cicero	epithelial	L2_0	0.0352134542963876	0.1318856744322386	0.021599425112272	3.7453205619128354	0.6133855807065134	9.311020518670968e-06	-1.1861883279533378e-08	4.891568044484606e-08	-0.242496540407079	0.4452	1.7201	5.0943	1080092.0
Height	method2_cicero	immune	L2_0	0.0583763996229592	0.1279834384369914	0.0116908576324614	2.192383210742857	0.2002668494112386	5.471766174377064e-09	-2.3325755741444663e-08	6.777290923381663e-09	-3.4417521698781988	0.4451	1.7207	5.0943	1080092.0
Height	method2_cicero	stromal	L2_0	0.0283570694893392	0.155119556774481	0.0196470093425621	5.470225223124618	0.6928434318626746	7.341188622681358e-10	1.1014000973164621e-07	5.8595562203392215e-08	1.8796646979738336	0.4455	1.7191	5.0943	1080092.0
Height	method2b_glasso	epithelial	L2_0	0.0122885499279586	0.0605741542178217	0.0147927427758069	4.929316686910698	1.203782615730013	0.0012564675260918	1.583925074355833e-08	9.285064935453517e-08	0.1705884757259878	0.4453	1.7207	5.0943	1080092.0
Height	method2b_glasso	immune	L2_0	0.0106752730467347	0.0612055554256303	0.0097582121861237	5.733394842237931	0.9140948567220504	6.688890952920652e-07	4.5103915298544194e-08	5.285432215341564e-08	0.8533628558819653	0.4453	1.7206	5.0943	1080092.0
Height	method2b_glasso	stromal	L2_0	0.010665878900395	0.0663120255191835	0.0081630763278011	6.217211552695155	0.7653449288177109	6.857250810500306e-11	6.637699602004228e-08	4.1147787003709614e-08	1.6131364735133429	0.4455	1.7203	5.0943	1080092.0
Height	method3_abc	epithelial	L2_0	0.0081400278033181	0.0566789351032334	0.0096239336997467	6.9629903573707015	1.1822973990117949	7.163668230192619e-07	4.224220383909829e-08	5.141169462058709e-08	0.8216458171791715	0.4453	1.7205	5.0943	1080092.0
Height	method3_abc	immune	L2_0	0.0408995968736951	0.0826422198235893	0.0087727529099188	2.0206120876643925	0.2144948503284905	2.077097890334038e-06	-1.9915192197162372e-08	6.4916111419773916e-09	-3.0678350507445917	0.4452	1.7209	5.0943	1080092.0
Height	method3_abc	stromal	L2_0	0.0080933925768462	0.0613645353995837	0.0088946522288042	7.58205348584436	1.0990017034698485	6.154215770463291e-09	6.671827181535007e-08	6.25841371484437e-08	1.0660572288006558	0.4455	1.7202	5.0943	1080092.0
Height	method4a_paired	epithelial	L2_0	0.0024547239890766	0.0217590696179694	0.0085768515236399	8.864161394436204	3.494018701005245	0.0253065339384034	2.1549291963282245e-07	2.8638114689215373e-07	0.7524689455691489	0.4451	1.7224	5.0943	1080092.0
Height	method4a_paired	immune	L2_0	0.0053544956609947	-0.0033859121580373	0.009207176386576	-0.6323494073778549	1.7195226160414008	0.3454455274750633	-2.845958680706352e-07	1.3681697141397785e-07	-2.080121092649472	0.4454	1.7199	5.0943	1080092.0
Height	method4a_paired	stromal	L2_0	0.0033931321073636	0.0129960134896324	0.0114315273377354	3.830093576795566	3.369019235333338	0.401613099000615	-7.83304217452582e-08	2.508644182340719e-07	-0.3122420560741744	0.4452	1.7216	5.0943	1080092.0
Height	method4b_crosscohort	epithelial	L2_0	0.0023483688323025	0.0111849042190762	0.0073618118693495	4.762839663524838	3.134861853080921	0.23209815969977	3.3962445278090945e-08	2.434100243260061e-07	0.139527718187169	0.4452	1.7213	5.0943	1080092.0
Height	method4b_crosscohort	immune	L2_0	0.005291923936268	-0.0039911123973521	0.0090510692397603	-0.7541892977711014	1.7103551276935454	0.3076870182535954	-2.873461629226165e-07	1.347891987849259e-07	-2.1318189106614955	0.4454	1.7198	5.0943	1080092.0
